ticker,rows_with_any_na,pct_rows_with_any_na
AAPL,0,0.0
ABBV,0,0.0
ABT,0,0.0
AEP,0,0.0
AMD,0,0.0
AMGN,0,
AMT,0,0.0
AMZN,0,0.0
APD,0,0.0
APP,0,
AVGO,0,0.0
AXP,0,0.0
BA,0,0.0
BAC,0,0.0
BKNG,0,
C,0,0.0
CAT,0,
CBRE,0,0.0
CCI,0,0.0
CEG,0,
CMCSA,0,0.0
COP,0,0.0
COST,0,
CSCO,0,0.0
CTVA,0,0.0
CVX,0,0.0
D,0,0.0
DE,0,0.0
DHR,0,0.0
DIS,0,
DLR,0,0.0
DUK,0,0.0
ECL,0,0.0
EQIX,0,0.0
ETN,0,0.0
ETR,0,0.0
EXC,0,0.0
FCX,0,0.0
GE,0,0.0
GEV,0,
GILD,0,0.0
GOOG,0,0.0
GS,0,0.0
HD,0,
HON,0,0.0
ISRG,0,
JNJ,0,0.0
JPM,0,0.0
KO,0,0.0
LIN,0,
LLY,0,0.0
LMT,0,0.0
LOW,0,0.0
MCD,0,0.0
META,0,
MO,0,0.0
MPC,0,0.0
MRK,0,
MS,0,0.0
MSFT,0,0.0
MU,0,0.0
NFLX,0,0.0
O,0,0.0
ORCL,0,0.0
PDD,0,0.0
PEP,0,0.0
PG,0,0.0
PLD,0,0.0
PLTR,0,0.0
PM,0,0.0
PSA,0,
PSX,0,0.0
RTX,0,0.0
SHW,0,0.0
SO,0,0.0
SPG,0,
SRE,0,
T,0,0.0
TJX,0,0.0
TMUS,0,0.0
TSLA,0,0.0
UNH,0,0.0
UNP,0,0.0
V,0,0.0
VLO,0,0.0
VMC,0,0.0
VST,0,0.0
VTR,0,0.0
VZ,0,0.0
WFC,0,0.0
WMB,0,0.0
WMT,0,0.0
XEL,0,
XOM,0,0.0
